symbol,company_name,issuer,underlying,underlying_name,underlying_exchange,yahoo_symbol,dr_last,underlying_price,underlying_ext_price,underlying_ext_session,underlying_ext_time,underlying_currency,fx_to_thb,fx_source_symbol,conversion_ratio,dr_per_underlying,fair_dr,diff_pct,implied_underlying,dr_percent_change,trading_session,status,mapping_source,price_source,source_url
STM03,Depositary Receipt on STM Issued by PI,PI,STM,STMICROELECTRONICS N.V. (STM),The New York Stock Exchange,STM,2.52,62.06,61.8,Postmarket,1784332679,USD,33.57,USDTHB=X,"1,000 : 1",1000.0,2.0833542,20.958788476774615,75.06702412868633,26.0,Day & Night Session,premium,same_as_set_underlying,SET official DR market data,https://www.set.or.th/en/market/product/dr/quote/STM03/factsheet
TSEMI03,Depositary Receipt on TSEMI Issued by PI,PI,TSEMI,TOWER SEMICONDUCTOR LTD. (TSEM),The Nasdaq Stock Market,TSEM,2.0,234.1,232.5001,Postmarket,1784332680,USD,33.57,USDTHB=X,"4,500 : 1",4500.0,1.746386,14.522219028324779,268.0965147453083,16.27907,Day & Night Session,premium,same_as_set_underlying,SET official DR market data,https://www.set.or.th/en/market/product/dr/quote/TSEMI03/factsheet
SMIC13,Depositary Receipt on SMIC Issued by KGI,KGI,SMIC,SEMICONDUCTOR MANUFACTURING INTERNATIONAL CORPORATION (981),The Stock Exchange of Hong Kong Limited,0981.HK,2.0700000000000003,67.7,,,,HKD,4.2838,HKDTHB=X,150 : 1,150.0,1.9334217333333334,7.064070104932463,72.48237546103927,,Day Session Only,premium,manual_underlying,SET official DR market data,https://www.set.or.th/en/market/product/dr/quote/SMIC13/factsheet
XIAOMI13,Depositary Receipt on XIAOMI Issued by KGI,KGI,XIAOMI,XIAOMI CORPORATION (1810),The Stock Exchange of Hong Kong Limited,1810.HK,2.44,26.88,,,,HKD,4.2838,HKDTHB=X,50 : 1,50.0,2.30297088,5.950102156741122,28.479387459732013,,Day Session Only,premium,manual_underlying,SET official DR market data,https://www.set.or.th/en/market/product/dr/quote/XIAOMI13/factsheet
JAPAN13,Depositary Receipt on CAM JAPAN HDG ETF Issued by KGI,KGI,CAM JAPAN HDG ETF,CHINAAMC MSCI JAPAN HEDGED TO USD ETF (3160),The Stock Exchange of Hong Kong Limited,3160.HK,5.675000000000001,31.26,,,,HKD,4.2838,HKDTHB=X,25 : 1,25.0,5.356463520000001,5.946768400655511,33.11895980204492,,Day Session Only,premium,exchange_rule_hk,SET official DR market data,https://www.set.or.th/en/market/product/dr/quote/JAPAN13/factsheet
TAIWANHD13,Depositary Receipt on KGI TAIWAN HD 30 ETF Issued by KGI,KGI,KGI TAIWAN HD 30 ETF,KGI TAIWAN PREMIUM SELECTION HIGH DIVIDEND 30 ETF (00915),Taiwan Stock Exchange,00915.TW,33.625,30.71,,,,TWD,1.0359,TWDTHB=X,1 : 1,1.0,31.812489000000003,5.69748252015112,32.45969688193841,,Day Session Only,premium,exchange_rule_taiwan,SET official DR market data,https://www.set.or.th/en/market/product/dr/quote/TAIWANHD13/factsheet
QBTS03,Depositary Receipt on QBTS Issued by PI,PI,QBTS,D-WAVE QUANTUM INC. (QBTS),The New York Stock Exchange,QBTS,1.48,16.73,16.6882,Postmarket,1784332792,USD,33.57,USDTHB=X,400 : 1,400.0,1.4040652500000002,5.40820663427144,17.63479296991361,6.47482,Day & Night Session,premium,same_as_set_underlying,SET official DR market data,https://www.set.or.th/en/market/product/dr/quote/QBTS03/factsheet
HK13,Depositary Receipt on TRAHK ETF Issued by KGI,KGI,TRAHK ETF,TRACKER FUND OF HONG KONG (2800),The Stock Exchange of Hong Kong Limited,2800.HK,5.625,24.98,,,,HKD,4.2838,HKDTHB=X,20 : 1,20.0,5.3504662000000005,5.131025778650833,26.261730239506978,,Day Session Only,premium,exchange_rule_hk,SET official DR market data,https://www.set.or.th/en/market/product/dr/quote/HK13/factsheet
HOOD03,Depositary Receipt on HOOD Issued by PI,PI,HOOD,"ROBINHOOD MARKETS, INC. (HOOD)",The Nasdaq Stock Market,HOOD,3.52,99.96,99.7,Postmarket,1784332795,USD,33.57,USDTHB=X,"1,000 : 1",1000.0,3.3556571999999996,4.897484760958304,104.85552576705392,2.325581,Day & Night Session,premium,same_as_set_underlying,SET official DR market data,https://www.set.or.th/en/market/product/dr/quote/HOOD03/factsheet
NBIS80,Depositary Receipt on NBIS Issued by KTB,KTB,NBIS,NEBIUS GROUP N.V. (NBIS),The Nasdaq Stock Market,NBIS,6.25,177.71,177.9321,Postmarket,1784332798,USD,33.57,USDTHB=X,"1,000 : 1",1000.0,5.965724700000001,4.765142783072096,186.17813523979743,11.607143,Day & Night Session,premium,same_as_set_underlying,SET official DR market data,https://www.set.or.th/en/market/product/dr/quote/NBIS80/factsheet
